Business Structure,Revenue
Limited Liability Company (LLC),1877825
Corporation,429610
Partnership,4624226
Sole Proprietorship,4118603
Corporation,3754854
Corporation,2351057
Partnership,1729583
Partnership,9159732
Limited Liability Company (LLC),1468591
Limited Liability Company (LLC),9916820
Corporation,7088673
Sole Proprietorship,543224
Limited Liability Company (LLC),509914
Sole Proprietorship,1581945
Partnership,3678136
Partnership,3913402
Limited Liability Company (LLC),8488454
Corporation,455199
Partnership,9426129
Sole Proprietorship,3345942
Corporation,9152600
Limited Liability Company (LLC),7048374
Partnership,3708379
Limited Liability Company (LLC),7546477
Corporation,9896237
Corporation,4677265
Corporation,119031
Sole Proprietorship,2688638
Corporation,7100293
Corporation,5718456
Partnership,4671907
Sole Proprietorship,2618513
Sole Proprietorship,3622365
Limited Liability Company (LLC),5657119
Corporation,1724803
Partnership,1566017
Limited Liability Company (LLC),6384122
Corporation,1632631
Sole Proprietorship,6032674
Corporation,5780619
Corporation,4447923
Partnership,738977
Partnership,7717870
Partnership,9006414
Limited Liability Company (LLC),2104235
Partnership,6360753
Limited Liability Company (LLC),1332047
Corporation,9271704
Limited Liability Company (LLC),4928715
Limited Liability Company (LLC),6077228
Partnership,9696361
Partnership,3236067
Sole Proprietorship,1176941
Limited Liability Company (LLC),778805
Corporation,3833498
Sole Proprietorship,4865124
Sole Proprietorship,1348687
Sole Proprietorship,3915582
Partnership,1704522
Partnership,6387459
Partnership,4673623
Corporation,7616962
Limited Liability Company (LLC),6130868
Sole Proprietorship,2738882
Partnership,6220606
Limited Liability Company (LLC),5970453
Sole Proprietorship,3524944
Limited Liability Company (LLC),4489144
Sole Proprietorship,1207935
Limited Liability Company (LLC),2881230
Partnership,8971380
Limited Liability Company (LLC),4117245
Limited Liability Company (LLC),2751438
Sole Proprietorship,7765439
Limited Liability Company (LLC),6376205
Corporation,4538972
Sole Proprietorship,9354066
Limited Liability Company (LLC),3694531
Corporation,5450561
Sole Proprietorship,948483
Partnership,3852788
Sole Proprietorship,548552
Sole Proprietorship,5302423
Limited Liability Company (LLC),6740428
Corporation,4501946
Sole Proprietorship,1120460
Sole Proprietorship,3549704
Sole Proprietorship,9525702
Limited Liability Company (LLC),5289418
Sole Proprietorship,3577281
Corporation,8385710
Limited Liability Company (LLC),6647601
Partnership,7708256
Partnership,2406987
Limited Liability Company (LLC),4453951
Corporation,2352608
Limited Liability Company (LLC),4147722
Limited Liability Company (LLC),9428194
Limited Liability Company (LLC),9052538
Limited Liability Company (LLC),4418072
Sole Proprietorship,9817725
Partnership,7197926
Corporation,9800057
Sole Proprietorship,6710828
Partnership,6083292
Limited Liability Company (LLC),3689591
Partnership,2330821
Partnership,8558432
Sole Proprietorship,8289821
Sole Proprietorship,1535206
Corporation,800481
Limited Liability Company (LLC),1849607
Limited Liability Company (LLC),2574251
Limited Liability Company (LLC),2694052
Partnership,7092668
Partnership,1075818
Limited Liability Company (LLC),6465324
Corporation,6412509
Partnership,7862574
Corporation,8887065
Partnership,4228028
Sole Proprietorship,9291590
Sole Proprietorship,202619
Limited Liability Company (LLC),1931859
Sole Proprietorship,9018867
Partnership,4486583
Partnership,5717197
Sole Proprietorship,1881534
Sole Proprietorship,4934115
Sole Proprietorship,7304150
