Business Name,Address,Owner Age,Credit Score,Occupation,Taxable Value,Business Age,Mortgage
Smith-Obrien,"756 Cruz Creek Apt. 228, East Michaelstad, DC 03735",65,414,Toxicologist,76225,24,No
Cruz-Juarez,"521 Quinn Avenue Suite 544, New Michaelmouth, IA 06750",40,528,"Engineer, control and instrumentation",196316,24,Yes
Richardson PLC,"PSC 8796, Box 4913, APO AE 77742",68,389,Medical physicist,669176,14,Yes
Owen LLC,"106 Jamie Mission, North William, AK 99899",26,395,"Programmer, multimedia",279258,8,Yes
Anderson Ltd,"86642 Ellis Flat Suite 369, West Regina, KY 54296",60,503,Human resources officer,800800,21,No
"Mccall, Henderson and Gonzales","1016 Frank Meadows Suite 997, Port Wesley, HI 02118",39,759,Personnel officer,667889,9,Yes
"Hale, Harvey and Sexton","39077 Sara Freeway Suite 861, Lake Ryan, DE 46766",35,732,Public affairs consultant,406778,9,Yes
Frye and Sons,"29337 Stanley Loaf, Josephborough, SD 42386",38,644,"Administrator, charities/voluntary organisations",157175,3,No
"Weeks, Campbell and Weaver","547 Barbara Shoals, North Robert, ID 05179",31,667,"Surveyor, quantity",938662,12,No
"Pierce, Perry and Miller","7789 Young Curve Suite 475, Lake Dana, CO 84164",27,770,"Producer, radio",612275,4,No
"Rogers, Moody and Hernandez","1162 Jill Run Suite 322, Wadefort, TN 85641",30,600,"Sound technician, broadcasting/film/video",919693,21,No
Maynard Inc,"989 Smith Cliff, New Erica, IL 09575",61,496,Music therapist,788797,3,Yes
"Haynes, Lawrence and Wilson","40173 Michael Knolls Apt. 411, North Michelle, CT 01768",67,533,Armed forces operational officer,860620,10,Yes
Gonzales-Jones,"580 Xavier Plains, Jensenmouth, MI 72305",39,403,Chief Operating Officer,448591,9,No
Schroeder PLC,"21658 Megan Parks Suite 185, East Ashley, UT 03457",65,673,Economist,220555,12,No
Castillo LLC,"493 Francisco Spurs, Stantonland, IA 67288",38,573,Financial controller,785911,30,Yes
Tyler-Alexander,"Unit 9774 Box 6422, DPO AE 22201",63,475,Amenity horticulturist,610086,24,Yes
